moviename,0.5,1,1.5,2,2.5,3,3.5,4,4.5,5,total,weighted_sum,mean,std_dev
once-upon-a-time-in-hollywood,9730,32079,17791,111545,92904,422631,409885,815097,307657,406159,2625478,9897110.5,3.77,0.88
jojo-rabbit,4669,10625,7212,37276,39685,199125,254070,658174,281746,450126,1942708,7835345.0,4.03,0.79
green-book,4127,8880,7901,30050,35801,114601,150025,300659,127421,158370,937835,3609168.5,3.85,0.86
roma-2018,1981,4558,2713,12670,11839,45702,52573,130676,75404,100399,438515,1749684.0,3.99,0.88
black-panther,7435,21560,15898,93839,101835,445550,381466,729632,183604,423501,2404320,9025422.0,3.75,0.88
bohemian-rhapsody,14029,32307,28835,98418,98610,294856,254468,395453,108193,240917,1566086,5574406.5,3.56,1.0
eighth-grade,2661,5082,3510,14708,15607,60376,76725,139823,54900,54854,428246,1610388.5,3.76,0.86
can-you-ever-forgive-me,113,337,410,2125,3896,16320,23664,28023,6332,3638,84858,305558.5,3.6,0.67
the-favourite,1737,4667,3132,17291,19093,88379,124477,307013,140113,139575,845477,3349790.0,3.96,0.76
cold-war-2018,251,659,723,3150,4661,17437,27096,53666,28086,29773,165502,656884.5,3.97,0.77
the-shape-of-water,8293,19161,9928,49410,41911,156752,153472,269309,92673,130556,931465,3396249.5,3.65,0.96
three-billboards-outside-ebbing-missouri,2228,5621,4436,17088,18632,69351,98759,254935,137667,140549,749266,2989841.0,3.99,0.8
lady-bird,8928,25354,15130,96560,79892,406580,347037,792532,266689,585402,2624104,10176971.0,3.88,0.9
get-out-2017,4075,11803,7275,49416,47946,321079,366031,1199254,545207,1074982,3627068,15113153.0,4.17,0.75
call-me-by-your-name,22423,40769,22333,104820,81639,319169,265118,620740,255841,677786,2410638,9407812.0,3.9,1.02
dunkirk-2017,3910,12670,9035,56046,57656,269853,289569,546246,172971,198705,1616661,6064338.5,3.75,0.81
i-tonya,823,3054,2822,18600,25426,144596,192618,378414,112280,165204,1043837,4061350.5,3.89,0.73
blade-runner-2049,3834,12130,7269,44522,40296,188895,213187,549852,326137,463888,1850010,7514038.5,4.06,0.82
moonlight-2016,3739,7594,3935,23127,21406,103450,117391,338469,201201,426055,1246367,5225909.0,4.19,0.82
la-la-land,16972,50912,18229,123346,73511,371841,295689,899636,478443,1448203,3776782,15660198.0,4.15,0.94
hidden-figures,713,1746,1946,9915,16247,76335,106533,193006,57088,106187,569716,2227194.5,3.91,0.76
arrival-2016,3351,11395,6589,46428,40039,213646,230488,640185,358506,554188,2104815,8608510.5,4.09,0.8
lion,429,1277,1336,6682,9882,44306,63790,117435,38229,52890,336256,1303968.0,3.88,0.76
spotlight,496,1340,1168,6610,9467,50765,78134,204477,94452,93989,540898,2178878.5,4.03,0.69
the-big-short,1926,5663,4724,23127,30770,129494,183161,322813,113074,103628,918380,3484661.5,3.79,0.76
the-revenant-2015,2810,9293,5832,35327,35225,164092,196882,407600,155312,165499,1177872,4516324.5,3.83,0.8
the-martian,2170,7150,5862,37352,46553,240652,286920,507933,146453,166481,1447526,5457466.0,3.77,0.75
mad-max-fury-road,4737,13970,6984,42294,34665,180098,187711,538625,312732,562131,1883947,7767796.5,4.12,0.83
birdman-or-the-unexpected-virtue-of-ignorance,4257,12467,6276,34185,28596,122600,144301,343419,171802,192193,1060096,4144473.0,3.91,0.86
boyhood,3333,8184,5417,24992,24088,86662,89606,163306,68122,98026,571736,2151690.0,3.76,0.93
the-grand-budapest-hotel,2500,8892,4492,34987,29935,204973,230053,787336,442578,804822,2550568,10746851.0,4.21,0.74
the-imitation-game,1232,3552,3899,21765,32784,150406,201745,342219,98237,128973,984812,3748639.5,3.81,0.75
