username,anora,conclave,the-brutalist,emilia-perez,nickel-boys,wicked-2024,maria-2024,oppenheimer-2023,poor-things-2023,the-holdovers,american-fiction,everything-everywhere-all-at-once,all-quiet-on-the-western-front-2022,the-fabelmans,the-banshees-of-inisherin,women-talking,top-gun-maverick,elvis-2022,coda-2021,the-power-of-the-dog,west-side-story-2021,dont-look-up-2021,king-richard,tick-tick-boom-2021,dune-2021,mank,nomadland,the-trial-of-the-chicago-7,borat-subsequent-moviefilm,promising-young-woman,palm-springs-2020,parasite-2019,1917,once-upon-a-time-in-hollywood,jojo-rabbit,green-book,roma-2018,black-panther,bohemian-rhapsody,eighth-grade,can-you-ever-forgive-me,the-favourite,cold-war-2018,the-shape-of-water,three-billboards-outside-ebbing-missouri,lady-bird,get-out-2017,call-me-by-your-name,dunkirk-2017,i-tonya,blade-runner-2049,moonlight-2016,la-la-land,hidden-figures,arrival-2016,lion,spotlight,the-big-short,the-revenant-2015,the-martian,mad-max-fury-road,birdman-or-the-unexpected-virtue-of-ignorance,boyhood,the-grand-budapest-hotel,the-imitation-game
jjbjr,,0.73,1.74,-0.28,1.74,0.73,0.73,1.74,1.74,0.73,0.22,1.74,0.73,,1.74,1.23,,-0.28,-0.28,1.74,,-1.29,,0.22,1.23,-0.28,1.74,-0.28,-0.28,0.73,0.22,1.23,0.22,0.73,0.73,-0.79,0.22,,-0.28,-0.79,,1.74,1.74,0.22,0.22,1.74,-0.28,1.74,0.73,0.73,1.74,1.74,1.74,-0.28,,,1.74,-1.29,0.22,0.73,1.74,1.23,,0.73,
alovelynite,0.83,,,,0.83,1.78,0.35,0.35,1.78,1.3,-0.12,1.3,0.83,0.35,,0.83,0.35,1.3,1.3,-0.6,1.78,-0.12,0.83,0.83,0.35,-1.08,0.83,-0.6,0.35,0.83,0.83,1.3,0.35,0.35,0.83,-1.08,0.83,1.3,-0.12,0.35,0.83,1.78,-0.12,1.78,0.83,0.83,0.83,-0.6,0.35,1.3,1.78,0.83,1.78,,0.83,0.83,0.83,-0.12,-1.55,0.83,0.83,-0.12,1.3,-0.12,-0.12
whentheometfilm,0.88,0.27,1.49,-0.34,0.27,1.49,0.88,1.49,-0.34,2.1,-0.34,0.27,,1.49,0.27,,-0.34,,,,0.27,-0.34,,,,,-0.95,,,,,1.49,,0.27,0.27,1.49,,,,-0.34,1.49,0.27,,,0.88,1.49,0.88,2.1,,-0.34,,1.49,2.1,,0.88,2.1,,-0.34,,,,0.27,,,
phrynefisher,1.49,,,,,-0.1,,,0.7,,,,,,,,-0.1,,,,1.1,,,,1.49,,,,,,,1.49,1.1,-0.49,0.3,-1.29,0.7,1.1,-1.29,,0.7,1.49,1.1,,-1.68,1.49,,0.3,1.1,-0.49,,1.49,,0.7,1.49,0.7,1.49,0.3,-1.29,1.1,1.49,,,1.49,
gemko,0.71,-0.68,-0.68,-0.68,0.01,,,0.01,1.4,0.71,0.71,0.01,,-1.38,2.1,-1.38,0.71,-0.68,,0.71,0.71,,0.71,,-0.68,0.01,0.01,-0.68,,0.01,0.01,0.71,0.71,0.71,-1.38,-1.38,0.71,0.71,,0.71,0.71,0.71,0.71,-0.68,0.71,0.71,0.01,0.71,0.71,-0.68,0.01,-0.68,0.71,0.01,0.71,0.01,0.71,0.01,0.01,1.4,1.4,0.71,1.4,1.4,0.01
shookone,1.77,0.04,1.34,-0.39,,-1.68,,-0.39,1.34,0.04,0.91,-0.82,-0.39,-1.68,0.04,-0.82,1.77,-1.25,-1.25,1.34,,1.34,-1.68,,1.34,,1.34,,,1.77,1.34,0.04,,0.04,-1.68,-1.25,2.2,-0.39,-1.68,1.77,,1.34,1.34,1.34,2.2,-1.25,0.47,0.47,0.47,-1.25,0.04,0.91,1.77,-1.68,1.77,,0.04,1.77,1.34,0.04,2.2,0.91,0.04,-1.68,-0.82
yazzjames,2.11,,,,,1.07,,,1.07,-0.49,0.55,1.07,,0.55,1.07,,1.59,,,,,-1.01,,,1.59,,1.59,,,-0.49,0.03,1.59,1.59,-1.01,,-2.05,1.07,1.07,,,,1.07,1.59,1.07,-2.57,,1.59,2.11,,,,2.11,2.11,,2.11,,1.07,,,,,,1.07,1.59,0.03
hauntedhippie,1.68,0.78,0.78,-1.92,0.33,0.33,,1.23,0.78,0.33,,1.23,1.23,0.78,0.33,-0.12,0.78,0.33,,,,-0.57,,,-1.92,,1.68,,,,0.78,,,0.33,,,,1.68,,1.23,,,,,,1.68,1.68,,,,,,-0.12,0.78,1.68,,,,,,,,,,
impressionblend,0.27,0.27,0.27,-1.33,0.8,0.8,-0.8,1.86,1.33,0.8,0.27,1.86,,,1.33,0.27,1.33,0.8,0.8,,1.33,-1.33,-0.27,0.8,1.33,0.27,1.33,0.8,-0.8,0.8,0.8,1.86,1.86,0.27,1.33,,0.8,0.27,-0.8,0.8,,1.86,1.86,0.8,1.33,0.8,0.8,1.33,1.86,0.27,1.86,0.8,1.86,0.27,1.86,-0.27,0.27,0.8,1.33,,,,,1.33,
ashmatxx,0.75,0.75,1.21,-1.52,1.21,-0.15,0.75,1.66,0.75,1.21,,1.21,,1.21,0.3,0.75,0.75,0.75,,0.75,0.75,,-0.15,0.3,,-0.15,0.3,-1.06,,1.66,0.75,1.66,0.3,0.3,0.3,-0.61,0.75,0.3,-0.15,,0.75,1.21,1.21,,1.66,0.75,0.75,1.21,1.21,-0.15,1.66,,1.21,,0.75,-0.15,0.75,,,,0.75,-0.15,,0.75,
jbird26,1.1,1.1,1.85,0.36,1.1,1.1,-0.39,1.85,1.1,1.1,1.1,1.85,0.36,1.1,1.85,1.1,1.1,-1.13,1.1,1.1,1.85,-1.13,0.36,1.1,1.1,1.1,1.1,1.1,0.36,1.1,1.1,1.85,1.85,1.1,1.85,,,1.1,,,,,1.1,,,,,,1.1,,1.85,,1.1,,2.6,,,,,1.85,2.6,1.85,,2.6,
mardarrius,-0.33,-0.33,1.36,-0.89,0.24,-0.33,-0.33,0.8,1.36,0.8,0.8,1.36,,0.24,-0.33,0.24,,,0.8,0.24,,-0.89,,0.8,1.36,0.24,1.92,0.8,0.24,1.36,0.8,1.92,0.8,1.36,0.8,,1.36,,-0.89,-0.33,,,0.8,0.8,,0.8,,,1.36,0.8,1.36,1.92,1.92,,1.92,,0.8,,0.8,0.24,1.92,0.8,,1.92,
jbouie,,0.78,,,,,,1.34,,0.78,,0.78,-1.47,1.34,0.78,,1.34,0.78,,0.21,,,-0.35,,1.34,-1.47,,-2.03,,0.21,0.78,1.34,-0.35,1.34,,,,1.9,,0.78,1.34,1.9,,,-2.03,0.78,,,1.9,0.21,,,,,,,0.78,-0.35,,,1.9,,,,
sharktale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.45,1.45,,,-0.32,0.57,0.57,1.01,1.45,,1.45,1.01,0.57,1.89,1.89,0.57,1.89,0.57,-0.32,1.45,1.89,2.34,2.34,2.34,,1.01,1.45,1.45,1.89,1.45,0.57,1.45,1.89,1.89
