username,dune-part-two,a-complete-unknown,the-substance,furiosa-a-mad-max-saga,a-real-pain,the-color-purple,maestro-2023,past-lives,the-zone-of-interest,tar-2022,the-menu-2022,bardo-false-chronicle-of-a-handful-of-truths,babylon-2022,the-menu-2022.1,rrr,nightmare-alley-2021,belfast,being-the-ricardos,nightmare-alley-2021.1,house-of-gucci,no-time-to-die-2021,the-french-dispatch,the-father-2020,the-mauritanian,minari,judas-and-the-black-messiah,one-night-in-miami,sound-of-metal,ford-v-ferrari,the-two-popes,knives-out-2019,joker-2019,vice-2018,a-star-is-born-2018,crazy-rich-asians,if-beale-street-could-talk,blackkklansman,deadpool-2,mary-poppins-returns,a-quiet-place-2018,darkest-hour,phantom-thread,the-post-2017,the-big-sick,the-florida-project,the-disaster-artist,logan-2017,hacksaw-ridge,manchester-by-the-sea,sing-street,sully,hell-or-high-water,nocturnal-animals,the-lobster,deadpool,the-jungle-book-2016,captain-fantastic,ant-man,carol-2015,steve-jobs,star-wars-the-force-awakens
theorollason,4.0,Missing,1.0,3.0,Missing,Missing,3.0,4.0,4.0,Late 5.0,Late 2.0,Missing,Late 4.0,Late 2.0,4.0,Late 3.0,Late 1.0,Missing,Late 3.0,3.0,Late 4.0,4.0,Missing,Missing,Late 3.0,Late 4.0,4.0,Late 3.0,Missing,Missing,5.0,2.0,Missing,3.0,3.0,5.0,4.0,3.0,Missing,4.0,Missing,4.0,Late 2.0,Late 3.0,5.0,3.0,4.0,Missing,Missing,Missing,Missing,Missing,1.0,Missing,Late 3.0,3.0,Missing,Late 3.0,Late 5.0,Missing,Late 3.0
ilaricciolina,Late 5.0,Late 4.0,Missing,Late 3.5,Missing,Missing,Missing,Late 3.5,Missing,Late 3.5,3.5,Missing,Late 5.0,3.5,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Late 4.5,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Late 4.0,Missing,Missing,Missing,Late 3.0,Missing,Late 4.0,Missing,Missing,Missing,Missing,Missing,Missing,Late 3.5,Missing,Missing,Missing,Late 4.0,Late 3.0,Late 3.5,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing
darrenfx,Missing,Late 3.0,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Late 4.0,Missing,Missing,Late 4.0,Missing,Missing,Missing,Missing,Missing,Missing,Missing,3.5,Missing,Missing,Missing,Missing,Missing,Late 4.0,Missing,Missing,4.0,Missing,Missing,Missing,Late 3.0,Missing,Late 4.0,3.5,Missing,3.5,Missing,Late 3.5,Late 3.5,Late 4.0,Missing,4.5,3.5,Late 4.0,Missing,Late 4.5,Late 4.5,Missing,Late 4.0,3.0,4.0,Missing,Missing,4.0,Missing,Missing,Late 5.0
superbardibros,5.0,Missing,5.0,5.0,Late 4.0,5.0,Late 3.0,4.0,Late 4.0,Late 4.0,4.0,Missing,Late 4.0,4.0,Missing,Late 3.0,Missing,Missing,Late 3.0,3.0,3.0,Late 2.0,Late 4.0,Missing,Late 4.0,Late 4.0,Missing,4.0,4.0,Missing,5.0,2.0,3.0,3.0,3.0,Missing,4.0,Missing,Late 2.0,Late 3.0,Missing,Late 5.0,Missing,Late 4.0,Missing,Missing,Missing,Missing,Late 3.0,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing
nopersonality,Missing,Missing,Late 3.0,Missing,Missing,3.5,Missing,Missing,Missing,Missing,3.0,Missing,Missing,3.0,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Late 2.5,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Late 2.0,Missing,Missing,Missing,Missing,Missing,Late 0.5,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing
victordurval,4.5,Late 2.0,Missing,3.5,Late 3.0,Missing,Late 2.5,4.5,Late 3.5,Late 3.5,Missing,Missing,Late 4.0,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Late 4.5,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Late 3.0,Missing,Missing,Missing,Missing,Missing,Late 3.5,Missing,Late 3.0,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Late 3.0,Missing,Missing,Missing,Late 4.5,Missing,Missing
simplecinema,5.0,Missing,4.0,5.0,Missing,Missing,Missing,Missing,Missing,Missing,Late 3.0,Missing,Missing,Late 3.0,Missing,Late 4.0,Missing,Missing,Late 4.0,Missing,4.5,Late 4.5,Missing,Missing,Missing,4.0,Missing,Missing,Missing,Missing,5.0,1.5,Late 1.5,Missing,Missing,Missing,Missing,3.0,Late 3.0,Missing,Missing,Late 4.5,Missing,Missing,Missing,Missing,5.0,Missing,5.0,Missing,Missing,Missing,5.0,Missing,Missing,Missing,Missing,Late 3.0,Missing,Missing,Late 5.0
cinemacollector,Missing,Missing,Missing,4.5,Missing,Missing,Missing,Missing,Missing,4.5,3.0,Missing,Late 4.5,3.0,4.0,Late 3.0,Missing,Missing,Late 3.0,Missing,Missing,3.0,Late 4.5,Missing,4.5,3.5,Missing,4.0,Late 3.0,Missing,Missing,3.5,Missing,Missing,Missing,Late 4.0,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Late 4.0,Missing,Missing,Late 4.0,Missing,Missing,Late 4.0,Late 2.5,Late 4.5,Missing,Missing,Missing,Missing,Missing,Missing,Missing
jfrankensteiner,Missing,Missing,2.5,Missing,Missing,Missing,Missing,Missing,Missing,3.5,Missing,Missing,Missing,Missing,Missing,Late 3.5,Missing,Missing,Late 3.5,Missing,2.5,3.0,Missing,Missing,Missing,3.5,Missing,3.5,3.5,Late 2.5,2.0,2.0,1.0,2.5,1.0,Late 4.0,2.0,Missing,Missing,2.0,Missing,Late 4.0,Missing,Missing,Missing,Late 2.0,Missing,Late 2.5,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing
dedward,3.0,Missing,5.0,3.0,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Late 4.0,Missing,Missing,Missing,Missing,Missing,Missing,Missing,3.5,2.5,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,3.0,5.0,Late 3.5,Missing,Missing,Missing,Missing,Missing,Missing,Late 1.5,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Late 4.0,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing
danielzalez,Missing,Missing,3.0,Missing,Missing,Missing,Missing,5.0,Late 3.5,Late 4.0,3.0,Missing,Missing,3.0,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,4.0,2.5,Missing,4.0,4.0,Late 4.5,4.0,2.5,Missing,3.0,Missing,Missing,Late 1.0,Late 3.5,Missing,Missing,3.5,2.5,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Late 1.5,Missing,Missing,Missing
ilsuey,4.5,Missing,3.5,4.5,Missing,Missing,Missing,3.0,Missing,Missing,Missing,Missing,Late 5.0,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Late 3.5,Missing,Missing,Late 3.5,Missing,Missing,Late 3.5,Late 4.0,Missing,Missing,Late 5.0,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Late 3.5,Missing,Missing,Late 3.5,Missing,Missing,Late 4.0,Late 4.0,Late 3.5,Missing,Missing,Late 2.5,Late 3.5,Missing,Missing,Missing,Missing,Late 3.5,Missing,Missing
deanmfjones,Missing,Missing,Missing,Missing,Missing,Missing,Late 4.0,Missing,Late 4.0,Missing,4.0,Missing,4.5,4.0,Late 3.0,4.5,Missing,4.0,4.5,Missing,3.5,Missing,Missing,Missing,Missing,Missing,Missing,4.0,3.5,Missing,3.0,4.5,4.5,4.5,Missing,4.0,4.0,4.0,4.5,4.0,2.5,4.5,4.5,4.5,4.5,4.0,4.0,3.5,4.5,Missing,4.5,4.5,4.0,Missing,Missing,3.5,Missing,4.0,Missing,3.5,Late 4.5
mogwai_synth,4.5,Late 3.5,5.0,4.0,4.0,Missing,Late 3.5,Late 5.0,Late 4.0,Late 4.5,3.5,Late 4.5,Missing,3.5,Missing,Late 4.0,Late 3.5,Missing,Late 4.0,Missing,Missing,Late 3.5,Missing,Missing,Missing,Missing,4.0,Late 4.0,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Late 3.5,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Late 4.0,Missing,Missing,Missing,Missing,Missing,Missing,Missing
petricor,Missing,Missing,Missing,2.0,Missing,Missing,Missing,Missing,Missing,Missing,2.5,Missing,Missing,2.5,Missing,Missing,Late 2.0,Missing,Missing,Late 3.0,Late 3.0,Missing,Late 3.0,Missing,Missing,Missing,Missing,Missing,Late 2.0,Missing,2.0,Late 2.0,Late 1.0,Late 2.0,Late 2.5,Late 4.0,Late 2.5,Missing,Missing,Late 3.5,Missing,Late 2.0,Late 2.5,Late 3.0,Missing,Late 3.5,Missing,Late 4.0,Late 1.5,Missing,Late 3.0,Missing,Late 3.0,Missing,Late 1.0,Late 3.5,Missing,Missing,Late 4.5,Missing,Missing
ptapat,3.0,Late 3.0,3.5,4.0,3.0,Missing,Late 3.0,4.0,Late 4.0,4.0,3.5,Late 2.0,3.0,3.5,4.0,Late 2.5,Late 3.5,2.0,Late 2.5,3.0,3.5,2.0,Late 4.0,Missing,Late 3.5,4.0,2.5,4.0,4.0,Missing,3.5,3.0,Missing,Late 4.5,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Late 4.5,Missing,Missing,Missing,Missing,Missing,Missing,Late 5.0,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing
keeganwalker15,Missing,Late 3.5,2.5,4.5,Late 3.5,Missing,Late 3.0,4.0,Late 4.0,4.0,3.5,2.0,Late 3.5,3.5,Late 2.5,Late 3.5,Late 3.0,Missing,Late 3.5,Late 2.5,4.0,3.0,Late 4.5,Missing,Late 3.5,Late 4.0,Missing,Missing,Missing,Missing,Late 3.5,Missing,Late 3.5,Late 3.5,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Late 4.5,Missing,Missing,Missing,Late 2.0,Missing,Missing,Late 5.0,Missing,Missing,Missing,Missing,Late 3.5,Missing,Missing,Missing,Missing,Missing,Late 4.5,Missing
cyman,4.5,Missing,4.5,4.0,Missing,Missing,Missing,4.0,4.0,Late 4.0,3.5,Missing,Late 4.5,3.5,3.5,Late 3.5,Missing,Missing,Late 3.5,Late 3.5,3.5,Missing,Missing,Missing,Missing,Late 4.0,Missing,Missing,Late 4.0,Missing,4.0,3.5,Late 4.0,4.0,Missing,Missing,Late 4.0,4.0,Missing,3.5,4.0,Late 4.0,Missing,Late 4.0,Late 3.5,Late 4.5,4.0,Late 3.5,Late 4.0,Late 4.0,Missing,Missing,Late 4.0,Missing,Missing,Missing,Missing,Missing,Late 4.0,Late 3.5,Missing
mitchxsns,4.0,Late 3.5,3.0,2.5,Late 3.0,Late 3.0,Late 3.5,4.0,Late 3.5,Late 3.5,4.0,Missing,Late 4.0,4.0,Late 3.5,Late 3.0,Late 1.5,Missing,Late 3.0,Late 4.0,Late 4.5,Late 5.0,Late 5.0,Missing,Late 3.5,Late 4.0,Missing,Late 5.0,Late 4.0,Late 3.0,Late 4.5,Late 5.0,Late 4.0,Late 4.0,Late 2.0,Late 3.5,Late 4.0,Late 4.5,Late 1.0,Late 3.0,Late 3.5,Late 3.5,Late 3.0,Late 1.5,Late 4.5,Late 2.5,Late 3.5,Late 2.0,Late 4.5,Late 3.5,Late 3.5,Late 4.0,Late 4.0,Late 4.0,Late 4.0,Late 4.0,Late 4.0,Late 3.5,Late 3.5,Late 3.5,Late 4.5
sergioalpendre,2.5,Late 2.5,2.5,3.5,Late 2.5,2.0,Late 3.5,Late 3.5,Late 2.0,Late 2.5,3.5,Missing,2.0,3.5,2.0,Late 3.0,Late 1.5,Missing,Late 3.0,Missing,Missing,3.5,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing
mrpeepers,Missing,Missing,4.5,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,4.0,Missing,Late 5.0,Missing,Missing,Missing,Late 3.5,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Late 4.5
dustin_b,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,3.5,Missing,Missing,3.5,5.0,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Late 4.0,Missing,Missing,Missing,Missing,Missing,Late 4.0,Missing,Missing,Missing,Missing,Missing,4.5,Late 2.5,2.5,Late 3.0,Late 4.5,Late 3.5,Late 4.5,4.0,4.5,Missing,Late 4.0,Late 4.5,Missing,Missing,Late 4.5,Late 4.0,4.0,4.0,4.0,Missing,3.5,3.5,Missing,Late 4.0
gubarenko,3.5,Late 3.5,5.0,5.0,Late 4.5,4.0,4.0,5.0,2.5,Late 4.5,4.0,3.0,Late 5.0,4.0,4.5,Late 4.5,Late 4.0,4.0,Late 4.5,3.5,4.5,4.0,4.5,4.0,4.0,Late 4.0,4.0,3.0,4.0,Late 4.0,Late 4.5,5.0,Late 3.0,4.0,Late 3.0,Missing,Late 4.5,4.0,Late 3.0,4.5,Late 3.5,Late 4.5,Late 4.0,4.5,Late 3.5,4.5,4.5,5.0,Late 5.0,4.5,4.5,4.5,5.0,4.5,4.5,4.0,5.0,3.5,5.0,4.0,Late 5.0
karekano,Missing,Late 2.5,4.5,3.0,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Late 2.5,Late 1.0,Missing,Late 2.5,Missing,Missing,Missing,Missing,Missing,4.0,Late 4.0,Missing,Missing,3.0,Missing,4.5,5.0,Missing,Missing,Late 3.5,Missing,Missing,Missing,Missing,Missing,Missing,Late 5.0,Missing,Late 4.5,Late 4.0,Late 4.0,Missing,Missing,Late 3.5,Late 4.5,Missing,Late 2.0,Missing,Late 5.0,Missing,Missing,Missing,Late 3.0,Late 4.0,Missing,Missing
brettandjb,Late 4.5,Late 3.5,4.0,3.5,Missing,3.5,Missing,Missing,Late 3.0,4.5,3.5,Missing,4.5,3.5,Missing,Late 4.0,Missing,Late 2.5,Late 4.0,3.5,Missing,3.5,Late 4.5,Missing,Missing,Missing,Missing,Missing,3.5,Missing,4.0,Late 1.5,Missing,Missing,Late 1.5,Missing,Missing,Late 3.5,Missing,Missing,Missing,Late 4.5,Missing,Missing,Missing,Missing,Late 4.0,Late 2.0,Late 4.5,Missing,Missing,Missing,Missing,Missing,Missing,Late 2.0,Missing,Missing,Late 4.0,Missing,Late 3.0
frankenlotter,5.0,Late 4.0,Late 5.0,5.0,Late 3.5,Missing,Missing,Missing,Late 5.0,Missing,Late 4.0,4.5,Late 4.5,Late 4.0,Missing,Late 4.5,Late 3.5,3.5,Late 4.5,Late 3.5,4.0,Late 5.0,Late 5.0,Late 4.0,Late 4.5,Late 4.0,Late 4.0,Late 4.5,Late 4.5,Late 3.0,Late 4.5,Late 4.5,Late 4.0,Late 4.5,Late 3.0,Late 4.5,Missing,4.5,Late 4.0,3.5,Late 4.0,Late 5.0,Late 5.0,Late 4.0,Late 4.0,Late 4.0,5.0,Late 5.0,Late 5.0,Missing,Late 4.5,Late 4.5,Late 4.5,Late 5.0,4.5,Late 4.0,Late 4.5,Late 4.0,Late 4.5,Late 4.5,Late 4.0
uusss15,4.5,Missing,Late 4.5,Missing,Missing,Missing,Missing,Late 3.0,Missing,Late 3.0,Late 4.0,Missing,Late 3.0,Late 4.0,Late 4.0,Missing,Missing,Missing,Missing,Late 2.5,Missing,Late 2.0,Missing,Missing,Late 3.5,Missing,Missing,Missing,Late 4.5,Late 3.0,4.5,Late 3.5,Missing,Missing,Missing,Missing,Late 3.5,Late 3.5,Late 2.5,4.0,Missing,Late 3.5,Missing,Missing,Missing,Missing,Late 3.5,Late 4.5,Missing,Missing,Missing,Missing,Late 3.0,Late 4.0,Late 4.0,Missing,Missing,Late 3.5,Missing,Late 2.5,Late 4.5
ajblack,5.0,Missing,4.0,4.0,Late 4.0,Missing,Late 3.0,Late 4.5,Late 4.0,Missing,3.5,Missing,Late 4.5,3.5,Missing,Late 3.5,Late 3.0,Missing,Late 3.5,Late 3.0,4.0,3.5,Late 4.5,Late 2.5,Missing,Late 3.5,3.5,Missing,4.0,Late 2.5,4.0,4.0,Late 3.0,Late 4.0,Missing,Late 3.0,Late 4.0,Late 3.0,Late 4.5,4.0,Late 3.5,Late 4.5,Late 4.0,4.0,Missing,Late 3.0,4.0,Late 3.5,Late 4.0,Late 4.5,Late 3.5,Late 4.0,Late 3.5,4.0,4.0,3.5,Missing,3.5,Late 4.0,Late 3.5,Late 4.5
vaiouu,4.5,Late 3.5,Late 4.5,4.5,Missing,Missing,Late 3.0,4.0,Late 3.5,Late 3.5,Late 4.0,Missing,Late 4.5,Late 4.0,Missing,Late 3.5,Missing,Missing,Late 3.5,Missing,Late 5.0,Late 4.0,Missing,Missing,Late 4.0,Late 3.5,Missing,Late 4.0,Missing,Missing,Late 4.0,Late 4.5,Late 2.5,Late 3.5,Late 3.0,Missing,Late 5.0,Late 4.0,Missing,Late 4.0,Missing,Missing,Missing,Missing,Late 3.0,Missing,Late 4.0,Late 4.0,Late 4.0,Missing,Missing,Missing,Late 3.5,Missing,Late 4.0,Missing,Missing,Late 3.0,Late 3.5,Missing,Late 3.0
matthewlb,4.5,Late 3.0,4.5,Late 4.0,4.0,Missing,Late 2.5,Late 4.0,Late 4.5,4.0,Late 3.5,Late 4.0,Late 3.5,Late 3.5,Late 3.5,Late 4.0,3.0,Missing,Late 4.0,Late 2.5,4.0,Late 3.5,5.0,Missing,4.0,Late 4.0,Late 3.5,4.0,Late 3.5,Missing,Missing,4.0,Late 2.5,Late 3.5,Missing,Missing,Late 3.5,3.5,Late 3.5,Late 3.5,Late 3.5,Missing,Late 2.0,Missing,4.0,Late 3.5,4.5,4.0,Late 4.0,Missing,Late 3.5,Late 4.0,Late 4.5,4.5,3.5,Late 2.5,Late 3.5,3.5,4.5,Late 4.0,Late 3.5
hudsonrocks,3.5,Missing,4.0,3.0,Missing,Missing,Late 2.0,Missing,Late 1.5,Missing,2.0,Missing,Missing,2.0,Missing,Missing,Missing,Missing,Missing,Missing,4.5,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,3.5,5.0,Missing,4.0,Missing,Missing,Missing,Missing,Late 3.0,Missing,Late 4.0,Late 3.0,Missing,Missing,Late 3.0,Missing,Missing,Missing,Late 3.5,Missing,Late 4.5,Missing,Missing,Missing,Missing,4.0,Missing,Missing,Late 5.0,Missing,Missing
willas,Late 1.5,Late 2.5,2.5,Missing,3.0,Missing,3.5,3.0,Late 2.5,3.5,2.5,Missing,3.0,2.5,2.5,Late 2.5,2.0,1.0,Late 2.5,1.5,Missing,2.5,Late 2.0,Missing,2.5,2.0,2.0,3.0,Late 2.0,Late 2.0,2.5,2.0,Late 1.5,3.0,2.0,4.0,3.5,Missing,Late 3.0,3.0,Late 2.0,4.0,Late 3.5,3.5,4.0,3.5,Missing,Late 1.5,4.5,3.5,Missing,2.5,2.5,3.0,Missing,2.0,3.5,2.5,5.0,Late 3.5,Missing
sylvainl,Missing,3.0,Missing,Missing,3.5,Missing,Late 2.5,Missing,2.5,Missing,Missing,Missing,Late 3.0,Missing,Missing,3.0,Missing,Missing,3.0,Missing,3.5,3.0,Late 4.0,Missing,Late 3.5,Missing,Missing,4.5,Late 3.5,Missing,4.0,2.0,2.0,3.0,Missing,Late 4.5,4.0,2.5,Missing,Late 3.0,Missing,4.0,3.5,Missing,4.0,4.0,3.0,3.0,4.0,Missing,4.0,3.0,Missing,Missing,Missing,Late 3.0,Missing,Missing,Late 4.5,Missing,Late 2.5
twincoves,4.0,Late 3.0,2.0,4.0,Missing,Missing,3.0,3.0,Late 3.0,5.0,1.0,Missing,Missing,1.0,Late 4.0,Missing,Missing,Missing,Missing,Missing,Missing,4.0,Missing,Missing,Missing,Late 4.5,3.5,Late 4.0,Missing,Missing,4.0,2.0,Late 3.0,3.0,Missing,Missing,Missing,2.5,Late 2.5,3.5,Late 2.5,Late 5.0,Late 3.5,4.0,Late 4.5,Missing,3.5,Missing,Late 4.0,3.5,3.5,Late 4.0,Late 3.0,Late 4.5,Late 2.0,2.0,Late 3.0,Missing,Late 4.5,Late 3.5,Missing
suspirianknight,Missing,Late 4.0,5.0,4.0,Missing,Missing,Missing,Missing,Missing,Late 3.0,4.0,Missing,Late 2.0,4.0,Missing,Missing,Missing,Missing,Missing,Late 3.5,Missing,Missing,Missing,Missing,Late 4.5,Late 4.0,Late 3.5,4.5,Late 4.0,Missing,Late 4.0,Missing,Missing,Missing,Missing,Missing,3.5,3.0,Missing,2.0,Late 2.0,Missing,Late 3.0,Missing,Missing,Late 2.5,Missing,Missing,Missing,Missing,Missing,Late 4.0,Missing,Late 1.5,Late 3.5,Missing,Missing,Missing,Late 2.0,Missing,Missing
stephen_ny,Missing,Missing,Missing,Missing,Missing,Missing,Missing,3.5,Missing,Late 4.5,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Late 4.5,Late 4.0,4.5,4.5,Missing,4.0,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Late 4.0,Missing,Missing,Late 4.5,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Late 3.5,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing
direktionz,Missing,Missing,4.0,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Late 4.0,Missing,Missing,Late 2.5,Missing,Missing,Late 2.5,Missing,Missing,Missing,Missing,Missing,Missing,Missing,3.0,4.0,2.5,Missing,4.0,Missing,Missing,Missing,Missing,Missing,Late 3.0,Missing,Missing,Missing,Missing,Late 5.0,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Late 3.0,Missing,Missing,Late 4.5,Late 3.5,Missing,Missing,Missing,Missing,Late 4.5,Missing,Missing
jdtheprezodent,5.0,Late 4.0,3.0,4.5,Late 4.5,Missing,Late 4.0,5.0,Late 2.0,Late 3.0,4.0,Missing,Late 2.0,4.0,4.5,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Late 2.0,Missing,Missing,Missing,Missing,Missing,Late 3.5,Late 3.0,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Late 5.0,Missing,Missing,Late 4.5,Missing,Missing,Missing,Missing,Late 4.0,Missing,Missing,Missing,Missing,Missing,Missing
benradetski,3.0,Late 1.0,4.0,3.0,3.0,Missing,Late 1.0,4.0,5.0,5.0,1.5,3.5,0.5,1.5,4.5,Late 3.0,Missing,Missing,Late 3.0,Missing,Missing,4.5,Missing,Missing,Missing,3.5,Missing,Missing,Missing,Missing,3.5,3.5,Late 3.0,4.0,4.0,Late 4.0,4.5,Missing,Missing,Missing,Missing,3.0,Missing,Late 2.0,Missing,Missing,Missing,Missing,Late 4.5,Missing,Missing,Missing,Missing,Late 4.0,Missing,Missing,Missing,Missing,Late 4.0,Missing,Missing
euanharris200,4.5,Late 3.0,4.0,3.5,Late 3.5,Missing,Late 4.0,Missing,4.0,Late 4.5,2.0,Missing,Late 4.0,2.0,Late 4.0,Late 3.5,Late 3.0,3.0,Late 3.5,2.5,3.5,Missing,Late 4.5,Late 3.0,Missing,Late 4.0,Missing,Late 4.0,5.0,Missing,4.0,4.0,Late 2.5,Late 5.0,Missing,Late 3.5,Missing,Missing,Late 3.0,Late 4.5,Missing,Missing,Missing,Missing,Missing,Late 4.0,Missing,Missing,Missing,Missing,Late 2.5,Missing,Missing,Missing,Late 4.5,Missing,Missing,Late 3.5,Late 4.0,Missing,Late 4.0
adil12uu,4.0,Late 2.0,5.0,3.5,Missing,Missing,Late 2.5,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,3.0,3.5,3.5,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Late 3.5,Missing
cinephile_chase,4.5,Late 4.0,Missing,4.5,4.5,Missing,Late 3.5,Late 4.0,Late 3.0,Late 3.5,3.5,Missing,Late 3.5,3.5,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Late 4.0,Late 4.0,Missing,Missing,Missing,Missing,Missing,Late 4.0,Missing,4.0,Missing,Missing,Missing,Missing,Missing,Missing,5.0,Missing,Missing,Late 5.0,Missing,Missing,Late 4.5,Missing,4.5,Missing,Missing,Late 4.0,Late 3.5,Missing,Late 4.0
dreyuhsanchez,5.0,Late 2.0,4.5,4.0,Late 3.0,Missing,Missing,4.0,Late 5.0,5.0,4.5,Missing,Missing,4.5,Late 5.0,Late 1.5,4.0,3.0,Late 1.5,Late 0.5,2.5,4.0,Late 4.0,Missing,5.0,5.0,Late 3.5,4.5,Late 5.0,Missing,Late 3.5,Missing,Missing,Missing,Late 2.0,Late 4.0,Late 4.5,Missing,Missing,Late 3.5,Missing,Missing,Missing,Missing,Late 4.5,Late 4.5,Missing,Missing,Late 4.5,Late 4.0,Missing,Late 3.0,Late 4.0,Late 4.0,Late 2.0,Missing,Late 4.0,Missing,Late 3.0,Missing,Late 2.0
herb_gallow,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Late 3.0,Late 3.5,Late 2.5,Late 3.0,Late 3.0,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,4.0,Late 3.5,3.5,1.0,1.5,Late 3.0,Missing,4.5,3.5,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Late 5.0,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing
antonwalbrook,Missing,Missing,4.5,Missing,Missing,Missing,Missing,Late 3.0,Late 4.0,2.5,Missing,Missing,Missing,Missing,4.5,Missing,Missing,Missing,Missing,Missing,3.0,Missing,Late 3.5,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Late 2.5,Missing,Missing,Late 3.0,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Late 4.0,Missing,Missing,Missing,Missing,Late 3.5,Missing,Late 3.5,Late 3.5,Missing,Missing,Missing,Late 4.0,Missing,Missing,Missing,Missing,Missing,Missing,Missing
