,mod_bell_dist
wicked-2024,-0.38217095465786804
emilia-perez,-0.3596255707066319
boyhood,-0.3227580026574019
oppenheimer-2023,-0.2992632390398966
mad-max-fury-road,-0.28257016433060966
call-me-by-your-name,-0.25315042292307693
dunkirk-2017,-0.23760028193285956
eighth-grade,-0.23202805523818548
lady-bird,-0.2201054026735569
dune-2021,-0.20966477927898977
the-fabelmans,-0.19845755341949933
once-upon-a-time-in-hollywood,-0.19304292674378762
nomadland,-0.1900529854471683
poor-things-2023,-0.18974365828337575
roma-2018,-0.1876006602560088
mank,-0.18315531134212562
anora,-0.17473261801185758
borat-subsequent-moviefilm,-0.16600087277275263
moonlight-2016,-0.15076299955799796
blade-runner-2049,-0.1502035140542175
get-out-2017,-0.1500818775064947
parasite-2019,-0.14137808511309444
tick-tick-boom-2021,-0.14129779956652616
the-grand-budapest-hotel,-0.13844647311622543
black-panther,-0.1331309795336215
the-brutalist,-0.13127535791396003
west-side-story-2021,-0.13112926761237456
palm-springs-2020,-0.12948554351898392
the-martian,-0.12835839043203356
the-shape-of-water,-0.1281608537680351
can-you-ever-forgive-me,-0.12260117805838643
dont-look-up-2021,-0.1184069950238433
everything-everywhere-all-at-once,-0.1183092091365644
three-billboards-outside-ebbing-missouri,-0.1166295769555733
women-talking,-0.11359738970603202
promising-young-woman,-0.11308349970837721
nickel-boys,-0.11104396592723852
the-power-of-the-dog,-0.11055735475094017
la-la-land,-0.10918192412853525
spotlight,-0.1022883815946102
arrival-2016,-0.09848226733959693
the-banshees-of-inisherin,-0.07318679708374516
top-gun-maverick,-0.07158033540830985
american-fiction,-0.06796726203280616
cold-war-2018,-0.06580660571622368
the-trial-of-the-chicago-7,-0.06269888932114057
king-richard,-0.052467524702366285
conclave,0.03243064601191828
maria-2024,0.0466097389979305
the-holdovers,0.07693464653737075
the-big-short,0.07961559330634518
coda-2021,0.08968292014414025
i-tonya,0.09394313811124452
birdman-or-the-unexpected-virtue-of-ignorance,0.09409122312215551
the-imitation-game,0.10255055579319292
1917,0.10290346018490881
jojo-rabbit,0.11231459076663473
the-revenant-2015,0.118292363982164
bohemian-rhapsody,0.12418258199414373
all-quiet-on-the-western-front-2022,0.12570813684293505
hidden-figures,0.12584462462224316
lion,0.13983495993462336
green-book,0.19244677422319872
