,moviename,mean_change,one_k_std_dev,change_vectors_size
green-book,green-book,-0.4700000000000002,0.93,0.22999999999999993
lion,lion,-0.2799999999999998,0.78,0.2500000000000001
hidden-figures,hidden-figures,-0.20999999999999996,0.73,0.26
all-quiet-on-the-western-front-2022,all-quiet-on-the-western-front-2022,-0.18999999999999995,0.72,0.265
the-imitation-game,the-imitation-game,-0.25,0.8,0.275
parasite-2019,parasite-2019,0.009999999999999787,0.58,0.2949999999999999
conclave,conclave,-0.04999999999999982,0.68,0.3150000000000001
the-holdovers,the-holdovers,-0.08000000000000007,0.72,0.31999999999999995
i-tonya,i-tonya,-0.16000000000000014,0.82,0.3299999999999999
coda-2021,coda-2021,-0.06000000000000005,0.75,0.345
get-out-2017,get-out-2017,0.07000000000000028,0.63,0.35000000000000014
the-grand-budapest-hotel,the-grand-budapest-hotel,0.020000000000000462,0.68,0.35000000000000026
the-banshees-of-inisherin,the-banshees-of-inisherin,0.09000000000000075,0.63,0.3600000000000004
spotlight,spotlight,0.08000000000000007,0.65,0.36500000000000005
king-richard,king-richard,0.08000000000000007,0.66,0.37000000000000005
jojo-rabbit,jojo-rabbit,-0.17000000000000037,0.92,0.37499999999999983
the-big-short,the-big-short,-0.020000000000000018,0.77,0.375
arrival-2016,arrival-2016,0.0600000000000005,0.7,0.3800000000000002
bohemian-rhapsody,bohemian-rhapsody,-0.33999999999999986,1.11,0.3850000000000001
1917,1917,0.0,0.78,0.39
the-trial-of-the-chicago-7,the-trial-of-the-chicago-7,0.020000000000000018,0.77,0.395
american-fiction,american-fiction,0.11999999999999966,0.68,0.39999999999999986
maria-2024,maria-2024,-0.029999999999999805,0.84,0.4050000000000001
cold-war-2018,cold-war-2018,0.08999999999999941,0.74,0.4149999999999997
the-martian,the-martian,0.16000000000000014,0.67,0.4150000000000001
can-you-ever-forgive-me,can-you-ever-forgive-me,0.18999999999999995,0.66,0.425
palm-springs-2020,palm-springs-2020,0.20999999999999996,0.64,0.425
birdman-or-the-unexpected-virtue-of-ignorance,birdman-or-the-unexpected-virtue-of-ignorance,-0.0900000000000003,0.95,0.4299999999999998
moonlight-2016,moonlight-2016,0.22999999999999954,0.64,0.4349999999999998
three-billboards-outside-ebbing-missouri,three-billboards-outside-ebbing-missouri,0.009999999999999787,0.89,0.4499999999999999
black-panther,black-panther,0.1299999999999999,0.77,0.44999999999999996
everything-everywhere-all-at-once,everything-everywhere-all-at-once,0.20000000000000018,0.71,0.45500000000000007
top-gun-maverick,top-gun-maverick,0.08000000000000007,0.84,0.46
the-revenant-2015,the-revenant-2015,-0.020000000000000018,0.95,0.46499999999999997
la-la-land,la-la-land,0.15999999999999925,0.78,0.46999999999999964
nickel-boys,nickel-boys,0.1299999999999999,0.81,0.47
blade-runner-2049,blade-runner-2049,0.17000000000000082,0.82,0.4950000000000004
the-power-of-the-dog,the-power-of-the-dog,0.1499999999999999,0.85,0.49999999999999994
the-brutalist,the-brutalist,0.22999999999999998,0.78,0.505
women-talking,women-talking,0.2100000000000004,0.8,0.5050000000000002
the-fabelmans,the-fabelmans,0.33000000000000007,0.7,0.515
tick-tick-boom-2021,tick-tick-boom-2021,0.21999999999999975,0.82,0.5199999999999998
promising-young-woman,promising-young-woman,0.14000000000000012,0.91,0.5250000000000001
roma-2018,roma-2018,0.33999999999999986,0.73,0.5349999999999999
mad-max-fury-road,mad-max-fury-road,0.4299999999999997,0.65,0.5399999999999998
borat-subsequent-moviefilm,borat-subsequent-moviefilm,0.33999999999999986,0.74,0.5399999999999999
the-shape-of-water,the-shape-of-water,0.30000000000000027,0.8,0.5500000000000002
nomadland,nomadland,0.3899999999999997,0.73,0.5599999999999998
anora,anora,0.38000000000000034,0.74,0.5600000000000002
eighth-grade,eighth-grade,0.5,0.63,0.565
lady-bird,lady-bird,0.41000000000000014,0.74,0.5750000000000001
oppenheimer-2023,oppenheimer-2023,0.33000000000000007,0.83,0.5800000000000001
dunkirk-2017,dunkirk-2017,0.4299999999999997,0.75,0.5899999999999999
poor-things-2023,poor-things-2023,0.3500000000000001,0.83,0.5900000000000001
once-upon-a-time-in-hollywood,once-upon-a-time-in-hollywood,0.3500000000000001,0.84,0.595
west-side-story-2021,west-side-story-2021,0.26000000000000023,0.93,0.5950000000000002
dune-2021,dune-2021,0.24999999999999956,0.96,0.6049999999999998
mank,mank,0.41999999999999993,0.81,0.615
dont-look-up-2021,dont-look-up-2021,0.16999999999999993,1.07,0.62
call-me-by-your-name,call-me-by-your-name,0.52,0.73,0.625
boyhood,boyhood,0.6800000000000006,0.61,0.6450000000000002
wicked-2024,wicked-2024,0.41999999999999993,1.0,0.71
emilia-perez,emilia-perez,1.54,1.07,1.3050000000000002
