moviename,mean_diff
emilia-perez,-1.54
boyhood,-0.6800000000000006
call-me-by-your-name,-0.52
eighth-grade,-0.5
mad-max-fury-road,-0.4299999999999997
dunkirk-2017,-0.4299999999999997
mank,-0.41999999999999993
wicked-2024,-0.41999999999999993
lady-bird,-0.41000000000000014
nomadland,-0.3899999999999997
anora,-0.38000000000000034
once-upon-a-time-in-hollywood,-0.3500000000000001
poor-things-2023,-0.3500000000000001
roma-2018,-0.33999999999999986
borat-subsequent-moviefilm,-0.33999999999999986
oppenheimer-2023,-0.33000000000000007
the-fabelmans,-0.33000000000000007
the-shape-of-water,-0.30000000000000027
west-side-story-2021,-0.26000000000000023
dune-2021,-0.24999999999999956
the-brutalist,-0.22999999999999998
moonlight-2016,-0.22999999999999954
tick-tick-boom-2021,-0.21999999999999975
women-talking,-0.2100000000000004
palm-springs-2020,-0.20999999999999996
everything-everywhere-all-at-once,-0.20000000000000018
can-you-ever-forgive-me,-0.18999999999999995
blade-runner-2049,-0.17000000000000082
dont-look-up-2021,-0.16999999999999993
the-martian,-0.16000000000000014
la-la-land,-0.15999999999999925
the-power-of-the-dog,-0.1499999999999999
promising-young-woman,-0.14000000000000012
black-panther,-0.1299999999999999
nickel-boys,-0.1299999999999999
american-fiction,-0.11999999999999966
the-banshees-of-inisherin,-0.09000000000000075
cold-war-2018,-0.08999999999999941
spotlight,-0.08000000000000007
king-richard,-0.08000000000000007
top-gun-maverick,-0.08000000000000007
get-out-2017,-0.07000000000000028
arrival-2016,-0.0600000000000005
the-grand-budapest-hotel,-0.020000000000000462
the-trial-of-the-chicago-7,-0.020000000000000018
parasite-2019,-0.009999999999999787
three-billboards-outside-ebbing-missouri,-0.009999999999999787
1917,0.0
the-revenant-2015,0.020000000000000018
the-big-short,0.020000000000000018
maria-2024,0.029999999999999805
conclave,0.04999999999999982
coda-2021,0.06000000000000005
the-holdovers,0.08000000000000007
birdman-or-the-unexpected-virtue-of-ignorance,0.0900000000000003
i-tonya,0.16000000000000014
jojo-rabbit,0.17000000000000037
all-quiet-on-the-western-front-2022,0.18999999999999995
hidden-figures,0.20999999999999996
the-imitation-game,0.25
lion,0.2799999999999998
bohemian-rhapsody,0.33999999999999986
green-book,0.4700000000000002
