username,anora,conclave,the-brutalist,emilia-perez,nickel-boys,wicked-2024,maria-2024,oppenheimer-2023,poor-things-2023,the-holdovers,american-fiction,everything-everywhere-all-at-once,all-quiet-on-the-western-front-2022,the-fabelmans,the-banshees-of-inisherin,women-talking,top-gun-maverick,elvis-2022,coda-2021,the-power-of-the-dog,west-side-story-2021,dont-look-up-2021,king-richard,tick-tick-boom-2021,dune-2021,mank,nomadland,the-trial-of-the-chicago-7,borat-subsequent-moviefilm,promising-young-woman,palm-springs-2020,parasite-2019,1917,once-upon-a-time-in-hollywood,jojo-rabbit,green-book,roma-2018,black-panther,bohemian-rhapsody,eighth-grade,can-you-ever-forgive-me,the-favourite,cold-war-2018,the-shape-of-water,three-billboards-outside-ebbing-missouri,lady-bird,get-out-2017,call-me-by-your-name,dunkirk-2017,i-tonya,blade-runner-2049,moonlight-2016,la-la-land,hidden-figures,arrival-2016,lion,spotlight,the-big-short,the-revenant-2015,the-martian,mad-max-fury-road,birdman-or-the-unexpected-virtue-of-ignorance,boyhood,the-grand-budapest-hotel,the-imitation-game
tototoro,Late 2.5,Missing,Missing,Missing,Missing,3.5,Missing,4.5,Late 3.5,Missing,Missing,Missing,Missing,Missing,Missing,Missing,3.5,Missing,Missing,Missing,Missing,Missing,Missing,Missing,5.0,Missing,Missing,Missing,Missing,2.0,Late 3.0,5.0,3.0,2.0,Missing,1.0,4.0,5.0,1.0,4.0,Late 3.5,Missing,Missing,Late 5.0,Late 1.5,5.0,4.0,Missing,4.0,3.0,5.0,Late 5.0,5.0,Late 4.0,5.0,Late 5.0,Missing,Late 2.0,Late 1.0,Late 4.5,Late 4.5,Missing,Missing,Late 4.5,Missing
jonathanfujii,Missing,3.5,4.5,1.5,3.5,2.5,3.0,4.0,Missing,4.5,4.0,Missing,3.5,3.0,4.0,Missing,Missing,Missing,3.0,Missing,4.5,Missing,Missing,3.5,Missing,3.5,3.5,4.5,3.5,4.0,4.0,5.0,Missing,Missing,Late 4.5,Late 3.5,Missing,Missing,Missing,Missing,Missing,Late 4.0,Missing,Missing,Late 3.5,Late 4.5,Late 5.0,Late 4.5,Late 4.0,Late 3.0,Missing,Late 4.5,Late 5.0,Missing,Late 4.5,Late 3.5,Late 5.0,Late 2.5,Late 4.0,Late 4.0,Late 4.5,Late 4.5,Late 4.0,Late 4.0,Late 4.0
dirkh,Missing,Missing,Late 4.0,Missing,Missing,Missing,Missing,4.0,Late 2.0,Missing,Missing,5.0,Missing,Missing,Missing,Missing,Late 4.0,Missing,Missing,Missing,Missing,5.0,Missing,Missing,3.0,Missing,Missing,Missing,Missing,Missing,Late 4.5,4.0,Late 3.0,4.0,Missing,Missing,Missing,3.5,Late 2.0,Missing,Missing,Missing,Missing,Late 1.5,Missing,Late 4.5,3.0,Missing,5.0,Missing,Late 5.0,Late 4.5,5.0,Missing,5.0,Late 1.5,Missing,Late 3.0,Missing,4.0,5.0,Late 5.0,5.0,5.0,3.5
itsrambb,5.0,4.0,5.0,1.5,4.5,5.0,Late 3.5,Missing,Missing,4.5,3.5,5.0,4.5,5.0,5.0,4.5,5.0,5.0,Missing,Late 4.5,4.5,2.0,4.0,5.0,4.5,Missing,Missing,Missing,Missing,Late 4.5,Late 4.5,5.0,4.5,5.0,Late 4.5,4.0,Missing,Late 5.0,Late 2.5,Late 5.0,Late 4.0,Late 4.5,Missing,Late 4.5,Late 4.5,Late 5.0,Late 5.0,Late 4.5,Late 4.0,Late 5.0,Late 5.0,Late 4.5,Late 5.0,4.5,Late 4.5,Missing,Late 5.0,Missing,Late 3.0,Late 4.0,Late 4.5,Missing,5.0,Late 5.0,Missing
stk5,5.0,4.0,4.5,1.5,3.5,Missing,3.0,4.0,Missing,4.5,3.5,5.0,Late 3.0,Missing,Missing,3.5,4.5,4.0,Missing,3.0,Missing,Missing,Late 3.5,3.0,4.5,Missing,Late 3.0,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Late 1.0,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Late 4.5,Missing,Missing,Missing,Missing,Missing,Late 4.0,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Late 5.0,Missing,Missing,Missing,Missing
eely,Missing,Missing,Missing,Missing,Missing,2.5,Missing,Late 2.0,Late 4.0,4.0,3.5,Late 2.5,Missing,Late 4.0,4.0,Missing,2.0,Missing,Late 3.5,Late 4.5,Late 2.5,2.5,Late 3.0,Late 3.5,Late 2.0,2.0,2.5,Late 3.5,Missing,4.0,4.0,Late 4.5,Late 4.0,3.0,Late 3.0,Late 2.0,5.0,4.0,Late 1.0,5.0,Late 4.0,4.5,Late 4.0,Late 4.0,Late 2.5,Late 4.0,4.0,5.0,Late 3.0,Late 4.5,Missing,Late 5.0,Late 4.0,Late 3.5,Late 4.0,Missing,Late 3.5,Missing,Missing,Missing,Missing,Missing,Late 2.5,Missing,Missing
elementarii,Missing,Late 3.0,Missing,Missing,Missing,Missing,Missing,Late 4.0,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,3.0,Missing,Missing,Late 1.0,Missing,Missing,Late 3.0,4.0,Late 3.0,3.0,Missing,Missing,Late 4.0,Missing,1.0,Missing,Missing,Missing,3.0,Late 3.0,Missing,Missing,Late 4.0,Late 3.0,Late 3.0,Missing,5.0,Late 5.0,Missing,Missing,Late 5.0,Missing,Late 4.0,Missing,Missing,Missing,Missing,Late 2.0,Late 1.0,Missing,Late 2.0
mrmoviesrd,3.0,4.0,Late 4.5,3.0,Late 4.0,4.0,Missing,4.0,Late 4.0,4.5,4.0,4.0,4.0,3.0,Late 4.5,Late 3.0,4.0,3.5,4.0,4.5,3.5,2.5,4.0,4.5,4.0,4.0,4.0,3.5,3.5,3.5,3.5,4.5,4.5,4.0,4.5,4.0,5.0,Late 3.5,Missing,Missing,3.5,4.0,4.5,Missing,Late 4.5,Missing,Late 4.5,Late 4.0,Late 4.0,Missing,Late 4.5,Missing,Missing,Missing,Late 4.0,Missing,Late 4.0,Missing,Missing,Late 4.0,Late 4.5,Missing,Missing,Late 4.5,Missing
kun,4.5,4.0,Late 4.5,2.0,4.5,2.5,2.5,4.5,4.5,3.5,Missing,4.0,3.5,3.5,4.0,Missing,3.5,Late 2.5,Missing,3.5,Missing,2.0,3.5,Missing,4.5,Missing,Missing,2.5,3.5,2.5,3.0,5.0,3.0,4.0,2.0,2.0,4.5,3.5,Late 1.0,4.0,3.5,4.0,2.5,Late 3.5,4.0,4.5,Missing,Late 4.5,4.0,3.0,4.5,Late 4.5,Late 4.5,Missing,Late 5.0,Missing,Missing,Missing,Missing,Missing,Late 5.0,Missing,Missing,Late 4.0,Missing
willhunting,2.0,Missing,Missing,Missing,Missing,Late 3.0,Missing,Late 5.0,Late 3.5,Missing,Late 3.5,5.0,Missing,Missing,Missing,Missing,Late 4.0,3.0,Missing,Missing,Late 3.0,3.0,Missing,Missing,4.5,Missing,Late 4.5,Missing,Missing,4.0,4.0,Missing,Missing,3.0,Late 3.0,Late 2.0,Late 4.0,5.0,Late 1.5,5.0,4.0,4.5,Missing,Late 4.5,Late 3.5,5.0,5.0,3.5,Missing,4.0,Missing,Missing,Missing,5.0,5.0,5.0,Late 4.0,Late 4.0,Missing,Late 4.0,Late 4.0,Missing,Late 4.0,Late 4.5,Missing
hollieamanda,3.0,3.5,Late 4.0,Missing,Missing,Missing,Missing,3.0,4.5,Late 3.0,3.0,4.0,Missing,Missing,4.0,Missing,Missing,Missing,Missing,Missing,Missing,1.5,Missing,Missing,3.0,2.5,2.5,Missing,Missing,4.0,Missing,5.0,3.0,3.5,4.0,Missing,2.5,3.0,Missing,5.0,Missing,4.0,Missing,4.0,Late 2.0,5.0,4.5,4.0,Missing,Late 2.5,Late 4.0,Missing,Missing,Missing,Late 4.0,Missing,Missing,Missing,Late 4.0,Missing,Late 4.5,Late 5.0,Missing,Late 5.0,Missing
ellakemp,4.0,3.5,4.0,1.0,5.0,3.5,3.5,4.0,3.5,4.0,3.5,4.0,4.0,3.5,4.0,5.0,4.0,3.5,4.0,5.0,4.5,2.0,3.5,Missing,3.5,Missing,4.5,4.5,3.5,4.5,4.0,4.5,4.0,3.0,4.0,3.0,Missing,2.5,2.0,5.0,5.0,4.0,4.0,Late 3.0,Late 3.0,Late 4.0,Missing,5.0,Late 4.5,Late 4.0,Missing,Late 5.0,Late 4.0,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Late 4.5,Missing,Missing,Late 4.5,Missing
sethsreviews,4.5,Late 3.5,Late 3.5,Late 1.0,4.0,3.0,Missing,4.5,Late 4.0,Late 4.0,Missing,4.5,4.0,Late 3.0,5.0,Missing,4.5,3.5,Late 3.5,Missing,Missing,Missing,Missing,Missing,Late 4.5,Missing,Missing,Missing,Missing,Missing,Missing,Late 5.0,Late 5.0,Late 4.0,Late 2.5,Missing,Missing,Late 3.5,Missing,Missing,Missing,Late 4.0,Missing,Late 3.0,Late 1.5,Late 5.0,Missing,Missing,Late 4.0,Missing,Late 4.0,Late 5.0,Late 3.5,Missing,Late 4.5,Missing,Late 4.0,Missing,Missing,Missing,Late 5.0,Late 3.5,Missing,Late 5.0,Late 4.0
will_sloan,Missing,Late 3.0,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,2.5,2.0,Missing,3.5,Missing,Missing,4.0,Missing,4.0,Missing,Missing,4.0,Missing,Missing,Missing,Missing,4.5,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing
filipe_furtado,2.5,2.0,Late 2.0,1.0,Late 2.5,2.0,1.5,2.5,Late 2.0,3.0,2.0,1.5,1.0,4.0,2.0,Late 2.5,3.0,2.0,2.0,3.5,Late 2.0,2.5,2.0,1.5,2.0,3.0,Late 2.0,2.0,1.5,2.5,3.0,3.5,Late 2.0,4.0,1.0,Late 2.5,2.0,3.0,Late 1.5,3.0,2.5,2.0,2.5,Late 1.5,1.0,3.5,3.5,3.0,2.0,1.0,2.0,Late 2.5,2.0,Late 2.0,Late 2.5,Late 2.0,3.0,3.0,Late 2.5,3.5,3.5,Late 1.5,Missing,Missing,1.0
juggernaut323,5.0,3.0,Late 4.0,2.5,4.0,4.0,2.0,4.0,5.0,2.5,4.0,5.0,3.0,4.0,4.5,4.5,5.0,4.5,4.0,2.5,Late 4.0,4.5,3.5,1.5,2.5,2.5,4.0,2.5,3.5,3.0,4.0,5.0,3.5,3.5,4.0,Missing,5.0,4.0,2.5,5.0,4.0,5.0,Late 4.0,Late 4.0,Late 2.5,Late 3.5,4.5,Late 4.0,Late 3.0,Late 3.0,Late 4.5,Late 5.0,Late 3.5,Late 2.5,Late 3.5,Late 3.5,Late 3.5,Late 3.5,Late 4.5,Late 3.5,Late 5.0,Missing,Late 3.5,Late 4.5,Late 3.0
timtamtitus,4.5,3.5,Late 2.5,Late 1.5,Late 2.0,4.0,Missing,Missing,Late 4.0,5.0,Missing,Missing,Missing,Late 5.0,Missing,Missing,Missing,Missing,Missing,Missing,Late 4.0,Missing,Missing,Late 3.5,Late 3.5,Missing,Late 2.5,Missing,Missing,Missing,Late 3.5,Late 4.0,Late 4.5,Late 2.5,Late 5.0,Missing,Missing,Missing,Missing,Late 4.0,Missing,Late 3.5,Missing,Missing,Late 4.5,Late 4.0,Missing,Late 3.0,Late 3.0,Late 4.0,Late 4.0,Late 4.5,Late 5.0,Missing,Missing,Missing,Missing,Late 3.5,Missing,Missing,Late 4.0,Late 3.5,Missing,Late 4.0,Missing
jlalibs,4.5,4.0,4.0,Late 1.0,5.0,3.0,Missing,3.5,4.5,4.0,3.0,3.5,Late 3.0,Late 4.5,4.0,4.0,4.0,4.0,3.0,4.0,Late 3.5,1.5,3.0,Late 2.5,4.0,2.0,4.0,2.0,3.5,3.0,3.0,4.0,2.5,Missing,2.0,Missing,3.0,4.0,Missing,4.0,Late 4.0,4.0,3.5,4.0,4.0,4.0,4.0,4.0,3.0,3.5,4.5,4.5,3.5,3.5,4.0,2.0,3.0,3.0,2.5,3.5,4.5,4.0,4.5,3.5,3.0
moviesrtherapy,5.0,4.0,Missing,2.0,4.5,2.5,3.0,4.0,4.5,4.0,4.0,5.0,3.5,4.5,4.5,4.5,4.0,2.0,Late 3.5,Missing,Missing,Missing,4.0,Missing,Late 4.5,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Late 3.5,Missing,Missing,Missing,Missing,Late 4.0,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Late 4.0,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Late 4.5,Missing,Missing,Late 5.0,Missing,Missing,Late 5.0,Missing
menslaughter,4.5,4.5,Late 2.0,3.5,4.5,3.0,4.0,5.0,Missing,4.0,Missing,Late 4.0,Late 4.0,Missing,Late 4.5,Missing,Late 4.5,Late 2.5,Missing,Late 4.0,Missing,Missing,Missing,Missing,Late 5.0,Missing,Missing,Missing,Missing,Late 2.5,Missing,Late 5.0,Missing,Missing,Missing,Late 1.0,Missing,Missing,Missing,Missing,Missing,Missing,Late 4.5,Missing,Missing,Late 4.0,Late 4.5,Missing,Late 4.5,Missing,Missing,Missing,Late 5.0,Missing,Late 5.0,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Late 3.5,Missing
nevermore1985,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,5.0,Missing,Missing,Late 4.0,2.5,Missing,Missing,4.5,2.5,Missing,Missing,2.5,Missing,3.5,Late 5.0,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Late 5.0,Missing,Missing,5.0,Missing,Missing,Missing,5.0,Missing,Late 4.0,Missing,Missing,Missing,Missing,Missing,Missing,Late 3.5,Late 5.0,Missing,Missing,Late 5.0,Missing
seanfennessey,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,4.5,4.5,2.0,3.5,3.5,3.5,Missing,3.5,Late 5.0,Missing,Missing,Missing,Late 4.0,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Late 5.0,Missing,Missing,Late 4.0,Missing,Late 4.0,Missing,Missing,Missing,Late 4.5,Missing,Missing,Missing,Missing,Late 4.0,Late 5.0,Missing,Missing,Missing,Missing
screeningnotes,Missing,Missing,Missing,Missing,Missing,3.0,Missing,4.0,5.0,4.0,Missing,Missing,Missing,Late 5.0,Late 4.0,Missing,Late 3.0,3.0,Missing,4.0,Late 4.0,Missing,Missing,2.0,5.0,4.0,5.0,Missing,Missing,Missing,4.0,5.0,3.0,4.0,Missing,Late 1.0,Missing,4.0,Late 1.0,5.0,3.0,4.0,3.0,4.0,2.0,4.0,4.0,4.0,4.0,Late 4.0,5.0,Late 4.0,Late 4.0,Missing,5.0,Missing,4.0,2.0,Late 2.0,3.0,5.0,5.0,5.0,4.0,1.0
kyledunne,4.5,3.0,Missing,3.5,3.5,Missing,2.0,4.0,4.5,Missing,Missing,Missing,Late 3.0,Missing,3.5,3.5,4.0,4.0,Late 3.0,4.5,Missing,1.0,3.0,3.0,4.5,3.5,4.0,2.0,3.5,3.0,4.0,5.0,3.5,4.0,Missing,Late 1.5,5.0,2.5,Late 0.5,Missing,4.0,Missing,Missing,4.5,3.0,4.5,5.0,4.0,3.0,4.0,4.5,5.0,4.0,Late 3.0,5.0,Late 3.0,Late 4.5,Late 4.0,Late 1.0,3.5,Late 4.5,Late 4.5,Missing,Missing,Missing
niceguys,Missing,Missing,Missing,Missing,Missing,Missing,Missing,4.0,Missing,Missing,Missing,Late 5.0,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,2.0,Missing,Missing,Missing,Missing,Missing,Missing,Missing,5.0,Missing,Late 3.5,Late 4.0,Missing,Missing,4.0,Missing,Late 4.5,Late 4.0,4.5,Missing,Late 2.0,4.0,4.0,3.5,5.0,Late 5.0,4.5,Missing,Late 4.5,5.0,Late 4.5,5.0,Missing,Late 4.5,Late 4.0,Missing,Missing,Late 4.0,Late 5.0,Late 3.0,Missing,Late 3.5
sophiaplanos,4.0,4.0,Late 3.5,Late 1.5,Missing,4.0,Missing,4.5,4.0,4.0,4.0,4.5,Late 3.0,Late 4.0,Late 3.5,4.0,4.0,3.0,4.0,2.5,3.5,3.0,4.0,3.5,4.5,Missing,4.0,4.0,2.5,4.5,3.5,4.5,4.0,3.5,3.5,4.0,3.5,3.5,Late 3.5,3.5,Missing,4.0,Missing,Late 4.0,Late 4.0,Late 4.0,Late 3.5,3.5,4.0,3.5,Late 4.0,Late 3.5,Late 5.0,3.5,Late 4.0,Late 4.0,Late 3.5,Missing,Missing,Late 4.5,Late 4.0,Missing,Missing,Late 4.0,4.0
bethanyinfilm,4.5,Missing,Missing,Missing,Missing,4.5,Missing,Missing,Late 5.0,Missing,4.0,Missing,Missing,Missing,Missing,3.5,Late 3.5,Missing,4.5,Missing,Missing,3.0,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,5.0,Missing,Missing,Missing,Missing,Missing,4.5,3.0,4.5,Missing,Late 5.0,Missing,Late 5.0,Late 3.0,Late 5.0,Late 5.0,Missing,Missing,Late 4.5,Missing,Missing,Late 5.0,Missing,Late 5.0,Missing,Late 4.5,Missing,Missing,Late 4.0,Missing,Missing,Missing,Late 5.0,Missing
iovewitch,Late 5.0,Missing,Missing,Missing,Missing,Missing,Missing,5.0,Missing,Late 4.0,Missing,Late 5.0,Missing,Missing,Missing,Missing,5.0,1.5,Missing,Missing,Missing,Late 3.0,Missing,Missing,Late 5.0,Missing,Missing,Missing,Missing,Missing,4.0,Late 5.0,Missing,Late 3.0,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Late 4.0,Missing,Late 4.5,Late 4.0,Missing,Missing,Late 5.0,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Late 5.0,Missing
kyloz,4.5,3.0,3.5,3.0,Late 4.0,4.5,4.0,4.0,4.0,4.0,3.5,4.5,3.5,5.0,4.5,3.5,3.5,4.5,4.0,4.0,5.0,3.0,4.0,3.5,4.0,1.0,4.5,4.5,Missing,4.0,Missing,Missing,Missing,Missing,Missing,Late 4.5,Missing,Missing,Missing,Late 4.5,Missing,Late 4.0,Late 3.5,Missing,Late 5.0,Late 5.0,Late 4.0,Late 5.0,Missing,Missing,Late 4.5,Late 4.0,Late 4.5,Late 3.5,Late 4.0,Missing,Missing,Missing,Missing,Missing,Late 4.0,Late 4.0,Missing,Late 4.0,Missing
demyvarda,4.5,4.0,4.5,0.5,2.5,1.5,2.5,4.0,5.0,4.5,3.0,4.5,3.0,4.0,4.0,2.5,3.5,1.0,2.5,Late 3.0,2.0,2.0,Late 2.0,3.0,3.5,1.0,3.5,1.5,1.5,2.5,3.5,Missing,4.0,3.0,3.5,Late 1.0,Late 4.0,Late 3.0,Late 1.0,Late 3.0,Missing,Missing,Late 3.0,Missing,Late 2.5,Late 3.5,Late 4.5,Late 5.0,Missing,Late 2.5,4.0,Late 4.5,Late 3.5,Late 3.0,Late 4.5,Late 4.0,Late 3.5,Late 2.0,Late 3.0,3.0,Late 4.5,Late 3.0,Late 3.5,Late 4.0,Late 3.0
jjbjr,Missing,4.0,Late 5.0,3.0,5.0,4.0,4.0,5.0,5.0,4.0,3.5,5.0,Late 4.0,Missing,Late 5.0,Late 4.5,Missing,Late 3.0,3.0,5.0,Missing,2.0,Missing,3.5,4.5,3.0,5.0,3.0,3.0,4.0,3.5,4.5,3.5,4.0,4.0,Late 2.5,Late 3.5,Missing,3.0,Late 2.5,Missing,5.0,Late 5.0,Late 3.5,Late 3.5,Late 5.0,Late 3.0,Late 5.0,Late 4.0,Late 4.0,Late 5.0,Late 5.0,Late 5.0,Late 3.0,Missing,Missing,Late 5.0,Late 2.0,Late 3.5,Late 4.0,Late 5.0,Late 4.5,Missing,Late 4.0,Missing
alovelynite,4.0,Missing,Missing,Missing,4.0,5.0,3.5,3.5,5.0,4.5,3.0,4.5,4.0,3.5,Missing,4.0,3.5,4.5,4.5,2.5,5.0,3.0,4.0,4.0,3.5,2.0,4.0,2.5,3.5,4.0,4.0,4.5,3.5,3.5,4.0,Late 2.0,4.0,4.5,3.0,3.5,4.0,5.0,3.0,5.0,4.0,4.0,4.0,2.5,3.5,4.5,5.0,Late 4.0,5.0,Missing,Late 4.0,Late 4.0,Late 4.0,Late 3.0,Late 1.5,Late 4.0,Late 4.0,Late 3.0,Late 4.5,Late 3.0,Late 3.0
